X1,Z1,X3,Z3,X5,Z5,X7,Z7
1.86E-05,4.68E-06,1.59E-05,7.95E-07,-1.46E-05,-3.43E-05,-1.44E-05,2.23E-05
1.45E-05,2.40E-06,1.99E-05,-4.92E-06,-8.18E-06,-3.53E-05,-1.65E-05,2.62E-05
9.45E-06,-1.34E-06,2.14E-05,-1.18E-05,-3.03E-06,-3.70E-05,-1.88E-05,2.91E-05
4.46E-06,-6.12E-06,2.04E-05,-1.92E-05,3.78E-07,-3.85E-05,-2.11E-05,3.06E-05
5.11E-07,-1.13E-05,1.73E-05,-2.68E-05,1.93E-06,-3.89E-05,-2.34E-05,3.03E-05
-1.52E-06,-1.61E-05,1.27E-05,-3.42E-05,1.63E-06,-3.77E-05,-2.59E-05,2.82E-05
-1.05E-06,-1.99E-05,7.58E-06,-4.05E-05,-2.97E-07,-3.49E-05,-2.87E-05,2.43E-05
1.90E-06,-2.24E-05,2.91E-06,-4.53E-05,-3.44E-06,-3.08E-05,-3.20E-05,1.95E-05
6.64E-06,-2.38E-05,-6.80E-07,-4.78E-05,-7.27E-06,-2.55E-05,-3.57E-05,1.45E-05
1.19E-05,-2.44E-05,-2.76E-06,-4.79E-05,-1.12E-05,-1.95E-05,-3.94E-05,1.01E-05
1.61E-05,-2.51E-05,-3.16E-06,-4.52E-05,-1.45E-05,-1.29E-05,-4.25E-05,7.17E-06
1.82E-05,-2.61E-05,-1.95E-06,-4.02E-05,-1.67E-05,-5.91E-06,-4.42E-05,6.37E-06
1.77E-05,-2.75E-05,6.48E-07,-3.31E-05,-1.75E-05,1.10E-06,-4.38E-05,7.94E-06
1.51E-05,-2.90E-05,4.14E-06,-2.47E-05,-1.68E-05,7.68E-06,-4.15E-05,1.17E-05
1.12E-05,-3.00E-05,7.68E-06,-1.60E-05,-1.49E-05,1.33E-05,-3.75E-05,1.69E-05
6.90E-06,-3.03E-05,1.02E-05,-8.35E-06,-1.24E-05,1.75E-05,-3.24E-05,2.30E-05
2.70E-06,-3.01E-05,1.10E-05,-2.63E-06,-9.57E-06,1.97E-05,-2.66E-05,2.93E-05
-1.05E-06,-2.99E-05,9.71E-06,6.15E-07,-6.80E-06,1.99E-05,-2.06E-05,3.51E-05
-4.23E-06,-2.98E-05,6.64E-06,1.50E-06,-4.23E-06,1.81E-05,-1.48E-05,4.02E-05
-6.93E-06,-2.98E-05,2.74E-06,6.80E-07,-1.88E-06,1.49E-05,-9.46E-06,4.44E-05
-9.42E-06,-2.97E-05,-8.96E-07,-9.39E-07,3.47E-07,1.08E-05,-4.87E-06,4.76E-05
-1.19E-05,-2.89E-05,-3.17E-06,-2.39E-06,2.52E-06,6.34E-06,-1.08E-06,4.99E-05
-1.46E-05,-2.72E-05,-3.16E-06,-2.80E-06,4.61E-06,2.11E-06,1.85E-06,5.12E-05
-1.74E-05,-2.46E-05,-3.37E-07,-1.59E-06,6.52E-06,-1.61E-06,3.82E-06,5.13E-05
-2.00E-05,-2.09E-05,5.19E-06,1.35E-06,8.10E-06,-4.72E-06,4.70E-06,5.01E-05
-2.20E-05,-1.64E-05,1.26E-05,5.68E-06,9.21E-06,-7.31E-06,4.44E-06,4.75E-05
-2.29E-05,-1.12E-05,2.05E-05,1.07E-05,9.72E-06,-9.55E-06,3.23E-06,4.38E-05
-2.26E-05,-5.72E-06,2.75E-05,1.57E-05,9.56E-06,-1.16E-05,1.60E-06,3.97E-05
-2.10E-05,-5.40E-07,3.21E-05,1.98E-05,8.60E-06,-1.35E-05,3.02E-07,3.62E-05
-1.86E-05,3.71E-06,3.35E-05,2.24E-05,6.88E-06,-1.52E-05,3.34E-08,3.42E-05
-1.57E-05,6.36E-06,3.15E-05,2.30E-05,4.70E-06,-1.65E-05,1.34E-06,3.43E-05
-1.30E-05,6.95E-06,2.62E-05,2.11E-05,2.58E-06,-1.65E-05,4.57E-06,3.69E-05
-1.05E-05,5.26E-06,1.84E-05,1.69E-05,1.09E-06,-1.49E-05,9.68E-06,4.18E-05
-8.50E-06,1.34E-06,9.02E-06,1.10E-05,6.16E-07,-1.12E-05,1.62E-05,4.84E-05
-7.34E-06,-4.49E-06,-8.70E-07,3.94E-06,1.32E-06,-5.70E-06,2.32E-05,5.59E-05
-7.16E-06,-1.18E-05,-1.06E-05,-3.56E-06,3.15E-06,1.03E-06,2.97E-05,6.28E-05
-8.12E-06,-1.99E-05,-1.98E-05,-1.11E-05,6.04E-06,8.29E-06,3.48E-05,6.78E-05
-1.03E-05,-2.84E-05,-2.85E-05,-1.86E-05,9.75E-06,1.53E-05,3.79E-05,6.99E-05
-1.35E-05,-3.67E-05,-3.69E-05,-2.58E-05,1.37E-05,2.13E-05,3.85E-05,6.86E-05
-1.74E-05,-4.41E-05,-4.49E-05,-3.27E-05,1.69E-05,2.53E-05,3.66E-05,6.41E-05
-2.15E-05,-5.00E-05,-5.23E-05,-3.88E-05,1.86E-05,2.67E-05,3.21E-05,5.70E-05
-2.51E-05,-5.38E-05,-5.81E-05,-4.35E-05,1.80E-05,2.52E-05,2.57E-05,4.82E-05
-2.74E-05,-5.54E-05,-6.11E-05,-4.59E-05,1.51E-05,2.12E-05,1.79E-05,3.87E-05
-2.80E-05,-5.46E-05,-6.05E-05,-4.51E-05,1.04E-05,1.54E-05,9.70E-06,2.93E-05
-2.67E-05,-5.17E-05,-5.58E-05,-4.09E-05,4.46E-06,9.05E-06,1.69E-06,2.05E-05
-2.35E-05,-4.70E-05,-4.76E-05,-3.35E-05,-1.92E-06,2.91E-06,-5.58E-06,1.27E-05
-1.86E-05,-4.09E-05,-3.69E-05,-2.39E-05,-8.12E-06,-2.27E-06,-1.18E-05,6.16E-06
-1.31E-05,-3.39E-05,-2.49E-05,-1.31E-05,-1.35E-05,-6.03E-06,-1.66E-05,1.16E-06
-7.83E-06,-2.70E-05,-1.28E-05,-2.65E-06,-1.76E-05,-8.16E-06,-1.97E-05,-2.22E-06
-3.88E-06,-2.08E-05,-1.80E-06,6.47E-06,-2.02E-05,-8.75E-06,-2.12E-05,-4.04E-06
-1.74E-06,-1.62E-05,7.55E-06,1.35E-05,-2.13E-05,-8.15E-06,-2.10E-05,-4.47E-06
-1.37E-06,-1.33E-05,1.50E-05,1.82E-05,-2.10E-05,-6.79E-06,-1.90E-05,-3.68E-06
-2.34E-06,-1.19E-05,2.07E-05,2.07E-05,-1.95E-05,-5.07E-06,-1.53E-05,-1.80E-06
-4.23E-06,-1.18E-05,2.51E-05,2.15E-05,-1.66E-05,-3.20E-06,-9.68E-06,1.12E-06
-6.79E-06,-1.25E-05,2.87E-05,2.10E-05,-1.26E-05,-1.23E-06,-2.39E-06,4.95E-06
-9.88E-06,-1.37E-05,3.17E-05,1.97E-05,-7.65E-06,8.65E-07,6.27E-06,9.59E-06
-1.33E-05,-1.52E-05,3.44E-05,1.82E-05,-2.16E-06,3.17E-06,1.57E-05,1.49E-05
-1.69E-05,-1.69E-05,3.68E-05,1.70E-05,3.40E-06,5.72E-06,2.51E-05,2.09E-05
-2.04E-05,-1.86E-05,3.89E-05,1.64E-05,8.68E-06,8.37E-06,3.40E-05,2.77E-05
-2.36E-05,-2.04E-05,4.01E-05,1.65E-05,1.36E-05,1.07E-05,4.21E-05,3.52E-05
-2.65E-05,-2.23E-05,4.00E-05,1.72E-05,1.84E-05,1.23E-05,4.95E-05,4.38E-05
-2.89E-05,-2.44E-05,3.86E-05,1.85E-05,2.32E-05,1.28E-05,5.66E-05,5.30E-05
-3.05E-05,-2.64E-05,3.57E-05,2.01E-05,2.80E-05,1.20E-05,6.36E-05,6.26E-05
-3.11E-05,-2.78E-05,3.17E-05,2.20E-05,3.21E-05,9.94E-06,7.03E-05,7.15E-05
-3.04E-05,-2.82E-05,2.72E-05,2.39E-05,3.47E-05,6.87E-06,7.63E-05,7.88E-05
-2.87E-05,-2.76E-05,2.26E-05,2.56E-05,3.49E-05,3.02E-06,8.09E-05,8.33E-05
-2.63E-05,-2.61E-05,1.83E-05,2.68E-05,3.25E-05,-1.23E-06,8.33E-05,8.44E-05
-2.38E-05,-2.38E-05,1.45E-05,2.75E-05,2.80E-05,-5.32E-06,8.33E-05,8.18E-05
-2.17E-05,-2.14E-05,1.13E-05,2.78E-05,2.20E-05,-8.70E-06,8.07E-05,7.61E-05
-2.01E-05,-1.93E-05,8.84E-06,2.79E-05,1.55E-05,-1.10E-05,7.61E-05,6.80E-05
-1.91E-05,-1.78E-05,7.12E-06,2.81E-05,9.55E-06,-1.20E-05,7.03E-05,5.85E-05
-1.87E-05,-1.73E-05,6.17E-06,2.88E-05,4.76E-06,-1.16E-05,6.44E-05,4.88E-05
-1.84E-05,-1.78E-05,6.00E-06,3.00E-05,1.71E-06,-9.58E-06,5.93E-05,4.00E-05
-1.80E-05,-1.90E-05,6.53E-06,3.15E-05,7.70E-07,-5.87E-06,5.58E-05,3.28E-05
-1.73E-05,-2.04E-05,7.38E-06,3.29E-05,2.16E-06,-3.64E-07,5.42E-05,2.78E-05
-1.64E-05,-2.17E-05,8.03E-06,3.34E-05,5.74E-06,6.69E-06,5.41E-05,2.47E-05
-1.57E-05,-2.26E-05,8.06E-06,3.24E-05,1.12E-05,1.48E-05,5.51E-05,2.30E-05
-1.53E-05,-2.28E-05,7.43E-06,2.98E-05,1.80E-05,2.33E-05,5.66E-05,2.21E-05
-1.57E-05,-2.22E-05,6.61E-06,2.59E-05,2.59E-05,3.16E-05,5.81E-05,2.12E-05
-1.66E-05,-2.08E-05,6.41E-06,2.17E-05,3.40E-05,3.89E-05,5.95E-05,2.01E-05
-1.82E-05,-1.86E-05,7.60E-06,1.82E-05,4.22E-05,4.48E-05,6.04E-05,1.83E-05
-2.02E-05,-1.59E-05,1.04E-05,1.63E-05,4.99E-05,4.88E-05,6.08E-05,1.61E-05
-2.29E-05,-1.31E-05,1.47E-05,1.64E-05,5.71E-05,5.09E-05,6.08E-05,1.36E-05
-2.59E-05,-1.06E-05,1.95E-05,1.86E-05,6.40E-05,5.11E-05,6.08E-05,1.14E-05
-2.91E-05,-8.88E-06,2.41E-05,2.27E-05,7.05E-05,4.97E-05,6.08E-05,9.79E-06
-3.21E-05,-8.10E-06,2.77E-05,2.81E-05,7.62E-05,4.72E-05,6.13E-05,9.16E-06
-3.42E-05,-8.23E-06,2.98E-05,3.41E-05,8.08E-05,4.39E-05,6.23E-05,9.45E-06
-3.51E-05,-9.16E-06,3.06E-05,4.03E-05,8.36E-05,3.99E-05,6.38E-05,1.04E-05
-3.48E-05,-1.07E-05,3.06E-05,4.60E-05,8.44E-05,3.57E-05,6.56E-05,1.15E-05
-3.31E-05,-1.27E-05,3.03E-05,5.06E-05,8.32E-05,3.13E-05,6.71E-05,1.23E-05
-3.03E-05,-1.48E-05,3.04E-05,5.37E-05,8.02E-05,2.69E-05,6.78E-05,1.25E-05
-2.65E-05,-1.68E-05,3.11E-05,5.47E-05,7.52E-05,2.27E-05,6.73E-05,1.20E-05
-2.24E-05,-1.87E-05,3.24E-05,5.33E-05,6.85E-05,1.88E-05,6.57E-05,1.07E-05
-1.84E-05,-2.04E-05,3.40E-05,4.97E-05,6.01E-05,1.53E-05,6.35E-05,8.43E-06
-1.47E-05,-2.18E-05,3.56E-05,4.45E-05,5.03E-05,1.22E-05,6.13E-05,5.21E-06
-1.11E-05,-2.24E-05,3.68E-05,3.86E-05,3.97E-05,9.43E-06,5.96E-05,1.09E-06
-7.00E-06,-2.17E-05,3.74E-05,3.30E-05,2.92E-05,6.90E-06,5.83E-05,-3.57E-06
-2.04E-06,-1.89E-05,3.76E-05,2.89E-05,1.99E-05,4.91E-06,5.73E-05,-8.20E-06
3.90E-06,-1.40E-05,3.75E-05,2.70E-05,1.30E-05,3.87E-06,5.61E-05,-1.22E-05
1.08E-05,-6.84E-06,3.73E-05,2.77E-05,9.00E-06,4.01E-06,5.44E-05,-1.50E-05
1.83E-05,1.87E-06,3.70E-05,3.11E-05,7.98E-06,5.27E-06,5.19E-05,-1.64E-05
2.60E-05,1.13E-05,3.66E-05,3.64E-05,9.45E-06,7.22E-06,4.85E-05,-1.63E-05
3.35E-05,2.05E-05,3.62E-05,4.27E-05,1.26E-05,9.24E-06,4.46E-05,-1.45E-05
4.02E-05,2.83E-05,3.57E-05,4.88E-05,1.64E-05,1.08E-05,4.08E-05,-1.11E-05
4.55E-05,3.39E-05,3.51E-05,5.36E-05,2.00E-05,1.15E-05,3.75E-05,-6.22E-06
4.92E-05,3.67E-05,3.44E-05,5.64E-05,2.25E-05,1.14E-05,3.53E-05,-9.23E-08
5.12E-05,3.67E-05,3.36E-05,5.65E-05,2.33E-05,1.07E-05,3.46E-05,6.71E-06
5.11E-05,3.40E-05,3.25E-05,5.39E-05,2.22E-05,9.69E-06,3.55E-05,1.35E-05
4.87E-05,2.90E-05,3.10E-05,4.88E-05,1.92E-05,8.82E-06,3.81E-05,1.95E-05
4.42E-05,2.22E-05,2.89E-05,4.16E-05,1.45E-05,8.16E-06,4.22E-05,2.40E-05
3.78E-05,1.44E-05,2.60E-05,3.28E-05,8.50E-06,7.64E-06,4.72E-05,2.63E-05
3.03E-05,6.25E-06,2.23E-05,2.31E-05,1.67E-06,6.98E-06,5.19E-05,2.62E-05
2.26E-05,-1.68E-06,1.78E-05,1.35E-05,-5.34E-06,5.87E-06,5.55E-05,2.39E-05
1.55E-05,-9.00E-06,1.29E-05,4.84E-06,-1.17E-05,4.23E-06,5.72E-05,1.99E-05
9.65E-06,-1.55E-05,8.18E-06,-2.25E-06,-1.64E-05,2.32E-06,5.66E-05,1.50E-05
5.27E-06,-2.11E-05,3.87E-06,-7.41E-06,-1.90E-05,6.49E-07,5.36E-05,9.79E-06
2.50E-06,-2.58E-05,1.43E-07,-1.06E-05,-1.89E-05,-1.65E-07,4.84E-05,4.59E-06
1.30E-06,-2.94E-05,-3.09E-06,-1.18E-05,-1.58E-05,4.18E-07,4.16E-05,-3.41E-07
1.57E-06,-3.17E-05,-6.15E-06,-1.16E-05,-9.89E-06,2.54E-06,3.37E-05,-4.85E-06
3.21E-06,-3.24E-05,-9.41E-06,-1.02E-05,-1.59E-06,5.80E-06,2.56E-05,-8.76E-06
6.16E-06,-3.13E-05,-1.32E-05,-8.25E-06,8.05E-06,9.45E-06,1.78E-05,-1.18E-05
1.04E-05,-2.83E-05,-1.79E-05,-6.37E-06,1.76E-05,1.26E-05,1.11E-05,-1.37E-05
1.59E-05,-2.32E-05,-2.32E-05,-5.02E-06,2.56E-05,1.43E-05,6.31E-06,-1.41E-05
2.22E-05,-1.65E-05,-2.88E-05,-4.40E-06,3.09E-05,1.42E-05,3.80E-06,-1.28E-05
2.85E-05,-8.86E-06,-3.38E-05,-4.51E-06,3.30E-05,1.23E-05,3.75E-06,-9.68E-06
3.39E-05,-1.28E-06,-3.75E-05,-5.07E-06,3.19E-05,8.80E-06,5.94E-06,-5.11E-06
3.79E-05,5.30E-06,-3.90E-05,-5.59E-06,2.82E-05,4.42E-06,9.82E-06,4.25E-07
3.99E-05,1.01E-05,-3.80E-05,-5.57E-06,2.26E-05,-1.37E-07,1.47E-05,6.28E-06
3.99E-05,1.26E-05,-3.50E-05,-4.79E-06,1.62E-05,-4.27E-06,1.98E-05,1.19E-05
3.78E-05,1.27E-05,-3.10E-05,-3.45E-06,1.00E-05,-7.48E-06,2.45E-05,1.66E-05
3.37E-05,1.03E-05,-2.73E-05,-2.18E-06,5.19E-06,-9.34E-06,2.83E-05,2.02E-05
2.77E-05,5.85E-06,-2.52E-05,-1.72E-06,2.55E-06,-9.58E-06,3.07E-05,2.23E-05
2.03E-05,-8.47E-08,-2.54E-05,-2.58E-06,2.38E-06,-8.22E-06,3.15E-05,2.30E-05
1.17E-05,-6.78E-06,-2.77E-05,-4.87E-06,4.41E-06,-5.56E-06,3.08E-05,2.27E-05
2.68E-06,-1.35E-05,-3.16E-05,-8.40E-06,7.94E-06,-2.11E-06,2.87E-05,2.16E-05
-5.86E-06,-1.95E-05,-3.60E-05,-1.27E-05,1.22E-05,1.62E-06,2.54E-05,2.02E-05
-1.27E-05,-2.39E-05,-3.96E-05,-1.70E-05,1.64E-05,5.25E-06,2.14E-05,1.87E-05
-1.70E-05,-2.61E-05,-4.14E-05,-2.06E-05,2.02E-05,8.56E-06,1.66E-05,1.71E-05
-1.84E-05,-2.63E-05,-4.08E-05,-2.29E-05,2.33E-05,1.14E-05,1.16E-05,1.55E-05
-1.75E-05,-2.47E-05,-3.75E-05,-2.35E-05,2.57E-05,1.37E-05,6.69E-06,1.39E-05
-1.55E-05,-2.25E-05,-3.12E-05,-2.23E-05,2.77E-05,1.55E-05,2.13E-06,1.25E-05
-1.34E-05,-2.03E-05,-2.26E-05,-1.96E-05,2.96E-05,1.70E-05,-1.98E-06,1.10E-05
-1.15E-05,-1.86E-05,-1.26E-05,-1.61E-05,3.17E-05,1.84E-05,-5.84E-06,9.36E-06
-9.73E-06,-1.75E-05,-2.53E-06,-1.26E-05,3.42E-05,1.98E-05,-9.76E-06,7.16E-06
-7.80E-06,-1.70E-05,6.00E-06,-9.78E-06,3.69E-05,2.13E-05,-1.39E-05,4.30E-06
-5.47E-06,-1.68E-05,1.22E-05,-7.82E-06,3.96E-05,2.30E-05,-1.81E-05,8.85E-07
-2.60E-06,-1.67E-05,1.58E-05,-6.53E-06,4.18E-05,2.47E-05,-2.20E-05,-2.81E-06
8.92E-07,-1.65E-05,1.72E-05,-5.58E-06,4.30E-05,2.64E-05,-2.48E-05,-6.31E-06
5.09E-06,-1.57E-05,1.70E-05,-4.74E-06,4.30E-05,2.77E-05,-2.63E-05,-9.07E-06
9.96E-06,-1.43E-05,1.55E-05,-4.01E-06,4.17E-05,2.86E-05,-2.64E-05,-1.06E-05
1.51E-05,-1.23E-05,1.31E-05,-3.43E-06,3.92E-05,2.88E-05,-2.51E-05,-1.05E-05
1.99E-05,-1.02E-05,1.03E-05,-2.96E-06,3.59E-05,2.85E-05,-2.29E-05,-8.88E-06
2.37E-05,-8.32E-06,7.51E-06,-2.44E-06,3.25E-05,2.79E-05,-1.99E-05,-5.64E-06
2.59E-05,-7.05E-06,5.44E-06,-1.69E-06,2.99E-05,2.79E-05,-1.62E-05,-9.02E-07
2.64E-05,-6.44E-06,4.40E-06,-7.41E-07,2.89E-05,2.91E-05,-1.16E-05,5.20E-06
2.58E-05,-6.25E-06,4.42E-06,1.52E-07,3.00E-05,3.21E-05,-6.14E-06,1.24E-05
2.51E-05,-6.13E-06,5.24E-06,6.60E-07,3.32E-05,3.71E-05,-2.93E-07,2.03E-05
2.52E-05,-5.86E-06,6.48E-06,5.74E-07,3.82E-05,4.36E-05,5.19E-06,2.80E-05
2.66E-05,-5.59E-06,7.79E-06,-4.26E-08,4.39E-05,5.08E-05,9.27E-06,3.48E-05
2.91E-05,-5.64E-06,8.97E-06,-8.59E-07,4.95E-05,5.77E-05,1.10E-05,3.98E-05
3.18E-05,-6.39E-06,1.01E-05,-1.46E-06,5.44E-05,6.37E-05,9.82E-06,4.24E-05
3.33E-05,-8.12E-06,1.13E-05,-1.58E-06,5.86E-05,6.86E-05,5.76E-06,4.26E-05
3.25E-05,-1.09E-05,1.28E-05,-1.07E-06,6.19E-05,7.23E-05,-5.21E-07,4.05E-05
2.87E-05,-1.45E-05,1.49E-05,1.18E-07,6.42E-05,7.50E-05,-8.07E-06,3.65E-05
2.17E-05,-1.87E-05,1.78E-05,1.96E-06,6.51E-05,7.61E-05,-1.59E-05,3.09E-05
1.20E-05,-2.33E-05,2.13E-05,4.31E-06,6.39E-05,7.56E-05,-2.32E-05,2.42E-05
4.07E-07,-2.79E-05,2.50E-05,6.83E-06,6.04E-05,7.31E-05,-2.90E-05,1.67E-05
-1.20E-05,-3.19E-05,2.82E-05,9.01E-06,5.47E-05,6.87E-05,-3.28E-05,8.97E-06
-2.38E-05,-3.47E-05,3.04E-05,1.03E-05,4.73E-05,6.29E-05,-3.44E-05,1.37E-06
-3.34E-05,-3.56E-05,3.13E-05,1.04E-05,3.90E-05,5.61E-05,-3.40E-05,-5.40E-06
-3.96E-05,-3.41E-05,3.10E-05,9.23E-06,3.06E-05,4.89E-05,-3.25E-05,-1.06E-05
-4.16E-05,-2.99E-05,2.95E-05,6.87E-06,2.26E-05,4.16E-05,-3.06E-05,-1.34E-05
-3.94E-05,-2.34E-05,2.68E-05,3.46E-06,1.51E-05,3.43E-05,-2.94E-05,-1.34E-05
-3.34E-05,-1.52E-05,2.29E-05,-8.10E-07,7.98E-06,2.69E-05,-2.93E-05,-1.05E-05
-2.45E-05,-6.06E-06,1.78E-05,-5.73E-06,1.05E-06,1.93E-05,-3.06E-05,-5.01E-06
-1.36E-05,3.14E-06,1.18E-05,-1.11E-05,-5.98E-06,1.15E-05,-3.30E-05,2.63E-06
-1.73E-06,1.18E-05,5.00E-06,-1.66E-05,-1.33E-05,3.51E-06,-3.64E-05,1.17E-05
9.93E-06,1.91E-05,-2.23E-06,-2.20E-05,-2.08E-05,-4.54E-06,-4.01E-05,2.14E-05
2.00E-05,2.46E-05,-9.84E-06,-2.72E-05,-2.82E-05,-1.22E-05,-4.39E-05,3.05E-05
2.77E-05,2.76E-05,-1.77E-05,-3.19E-05,-3.48E-05,-1.90E-05,-4.77E-05,3.81E-05
3.25E-05,2.79E-05,-2.55E-05,-3.60E-05,-3.99E-05,-2.41E-05,-5.15E-05,4.32E-05
3.49E-05,2.60E-05,-3.29E-05,-3.95E-05,-4.30E-05,-2.71E-05,-5.50E-05,4.53E-05
3.61E-05,2.26E-05,-3.96E-05,-4.24E-05,-4.40E-05,-2.76E-05,-5.81E-05,4.45E-05
3.71E-05,1.90E-05,-4.49E-05,-4.43E-05,-4.30E-05,-2.54E-05,-6.04E-05,4.12E-05
3.84E-05,1.62E-05,-4.86E-05,-4.51E-05,-4.07E-05,-2.09E-05,-6.16E-05,3.60E-05
3.99E-05,1.53E-05,-5.02E-05,-4.45E-05,-3.77E-05,-1.45E-05,-6.13E-05,2.97E-05
4.14E-05,1.63E-05,-4.97E-05,-4.21E-05,-3.53E-05,-7.29E-06,-6.00E-05,2.27E-05
4.17E-05,1.89E-05,-4.72E-05,-3.79E-05,-3.40E-05,-2.59E-07,-5.80E-05,1.56E-05
4.01E-05,2.18E-05,-4.28E-05,-3.19E-05,-3.45E-05,5.73E-06,-5.58E-05,8.77E-06
3.59E-05,2.38E-05,-3.69E-05,-2.45E-05,-3.67E-05,1.01E-05,-5.36E-05,2.71E-06
2.93E-05,2.41E-05,-2.99E-05,-1.63E-05,-4.05E-05,1.27E-05,-5.13E-05,-2.21E-06
2.08E-05,2.22E-05,-2.22E-05,-8.18E-06,-4.54E-05,1.35E-05,-4.86E-05,-5.67E-06
1.16E-05,1.84E-05,-1.43E-05,-1.02E-06,-5.12E-05,1.26E-05,-4.53E-05,-7.44E-06
2.47E-06,1.34E-05,-6.87E-06,4.46E-06,-5.72E-05,1.01E-05,-4.16E-05,-7.50E-06
-5.91E-06,8.32E-06,-3.84E-07,7.90E-06,-6.29E-05,6.41E-06,-3.78E-05,-6.09E-06
-1.34E-05,4.07E-06,4.84E-06,9.35E-06,-6.76E-05,1.74E-06,-3.44E-05,-3.68E-06
-2.00E-05,1.44E-06,8.78E-06,9.12E-06,-7.09E-05,-3.56E-06,-3.22E-05,-9.27E-07
-2.57E-05,6.67E-07,1.16E-05,7.60E-06,-7.24E-05,-9.12E-06,-3.15E-05,1.49E-06
-3.09E-05,1.52E-06,1.36E-05,5.06E-06,-7.18E-05,-1.44E-05,-3.25E-05,3.05E-06
-3.54E-05,3.57E-06,1.49E-05,1.71E-06,-6.91E-05,-1.89E-05,-3.53E-05,3.47E-06
-3.89E-05,6.42E-06,1.57E-05,-2.22E-06,-6.44E-05,-2.21E-05,-3.98E-05,2.66E-06
-4.07E-05,9.83E-06,1.61E-05,-6.55E-06,-5.83E-05,-2.35E-05,-4.57E-05,7.70E-07
-4.04E-05,1.37E-05,1.60E-05,-1.11E-05,-5.14E-05,-2.30E-05,-5.23E-05,-1.85E-06
-3.76E-05,1.77E-05,1.53E-05,-1.58E-05,-4.47E-05,-2.07E-05,-5.91E-05,-4.73E-06
-3.28E-05,2.17E-05,1.37E-05,-2.04E-05,-3.89E-05,-1.70E-05,-6.50E-05,-7.36E-06
-2.66E-05,2.51E-05,1.10E-05,-2.50E-05,-3.49E-05,-1.28E-05,-6.96E-05,-9.23E-06
-1.98E-05,2.73E-05,7.10E-06,-2.97E-05,-3.30E-05,-8.91E-06,-7.23E-05,-9.97E-06
-1.35E-05,2.81E-05,1.81E-06,-3.43E-05,-3.34E-05,-6.22E-06,-7.31E-05,-9.31E-06
-8.26E-06,2.72E-05,-4.76E-06,-3.86E-05,-3.58E-05,-5.17E-06,-7.23E-05,-7.21E-06
-4.71E-06,2.45E-05,-1.23E-05,-4.23E-05,-3.95E-05,-5.83E-06,-7.01E-05,-3.79E-06
-3.09E-06,2.03E-05,-2.00E-05,-4.50E-05,-4.39E-05,-7.89E-06,-6.72E-05,6.68E-07
-3.24E-06,1.50E-05,-2.76E-05,-4.63E-05,-4.82E-05,-1.09E-05,-6.42E-05,5.79E-06
-4.67E-06,9.16E-06,-3.45E-05,-4.61E-05,-5.20E-05,-1.43E-05,-6.15E-05,1.12E-05
-6.69E-06,3.54E-06,-4.05E-05,-4.45E-05,-5.52E-05,-1.75E-05,-5.91E-05,1.66E-05
-8.62E-06,-1.16E-06,-4.53E-05,-4.17E-05,-5.74E-05,-2.00E-05,-5.71E-05,2.17E-05
-9.85E-06,-4.38E-06,-4.89E-05,-3.78E-05,-5.82E-05,-2.11E-05,-5.53E-05,2.63E-05
-9.97E-06,-5.85E-06,-5.08E-05,-3.32E-05,-5.76E-05,-2.06E-05,-5.36E-05,3.00E-05
-8.83E-06,-5.68E-06,-5.10E-05,-2.80E-05,-5.57E-05,-1.84E-05,-5.25E-05,3.22E-05
-6.60E-06,-4.26E-06,-4.94E-05,-2.27E-05,-5.29E-05,-1.49E-05,-5.19E-05,3.24E-05
-3.82E-06,-2.19E-06,-4.65E-05,-1.76E-05,-4.98E-05,-1.08E-05,-5.22E-05,3.04E-05
-1.24E-06,-4.18E-08,-4.26E-05,-1.34E-05,-4.69E-05,-6.87E-06,-5.31E-05,2.64E-05
5.71E-07,1.83E-06,-3.81E-05,-1.03E-05,-4.47E-05,-3.84E-06,-5.43E-05,2.10E-05
1.48E-06,3.37E-06,-3.33E-05,-8.63E-06,-4.35E-05,-2.37E-06,-5.56E-05,1.50E-05
1.61E-06,4.65E-06,-2.80E-05,-8.22E-06,-4.37E-05,-2.88E-06,-5.67E-05,9.52E-06
1.19E-06,5.66E-06,-2.24E-05,-8.90E-06,-4.54E-05,-5.34E-06,-5.72E-05,5.81E-06
4.92E-07,6.28E-06,-1.67E-05,-1.03E-05,-4.84E-05,-9.30E-06,-5.67E-05,4.78E-06
-1.88E-07,6.31E-06,-1.11E-05,-1.20E-05,-5.23E-05,-1.40E-05,-5.49E-05,6.80E-06
-5.90E-07,5.54E-06,-5.55E-06,-1.32E-05,-5.65E-05,-1.85E-05,-5.19E-05,1.16E-05
-5.96E-07,3.81E-06,-2.86E-07,-1.36E-05,-6.01E-05,-2.19E-05,-4.77E-05,1.83E-05
-3.19E-07,1.12E-06,4.27E-06,-1.30E-05,-6.26E-05,-2.39E-05,-4.28E-05,2.59E-05
-6.32E-08,-2.24E-06,7.43E-06,-1.18E-05,-6.38E-05,-2.44E-05,-3.76E-05,3.33E-05
-9.78E-08,-5.69E-06,8.53E-06,-1.05E-05,-6.36E-05,-2.36E-05,-3.28E-05,3.91E-05
-4.92E-07,-8.41E-06,7.34E-06,-9.62E-06,-6.22E-05,-2.19E-05,-2.89E-05,4.27E-05
